code,sector
00397,信贷
00398,其他零售商
00399,个人护理
00400,电子商贸及互联网服务
00401,医疗及医学美容服务
00403,印刷及包装
00406,楼宇建造
00408,特殊化工用品
00410,地产投资
00411,农产品
00412,投资及资产管理
00413,玩具及消闲用品
00417,其他零售商
00418,应用软件
00419,医疗及医学美容服务
00420,纺织品及布料
00422,汽车
00423,出版
00425,汽车零件
00426,出版
00428,投资及资产管理
00430,地产投资
00431,信贷
00432,地产发展商
00433,其他金属及矿物
00434,游戏软件
00436,环保工程
00438,新能源物料
00439,系统开发及资讯科技顾问
00440,银行
00442,珠宝钟表
00444,其他零售商
00450,印刷及包装
00451,非传统/可再生能源
00455,药品
00456,地产投资
00458,服装
00459,地产代理
00460,药品
00464,家庭电器
00465,系统开发及资讯科技顾问
00467,油气生产商
00468,印刷及包装
00470,工业零件及器材
00471,卫星及无线通讯
00472,酒精饮料
00474,重型机械
00475,新能源物料
00476,商业用车及货车
00480,地产发展商
00482,消费电子产品
00483,服装零售商
00484,电脑及周边器材
00485,地产发展商
00486,铝
00487,旅游及观光
00488,综合企业
00489,商业用车及货车
00491,影视娱乐
00493,家居装修零售商
00495,地产投资
00496,家具
00497,地产发展商
00498,航运及港口
00499,教育
00500,其他支援服务
00501,半导体
00505,铜
00506,非酒精饮料
00508,信贷
00509,化肥及农用化合物
00510,证券及经纪
00511,广播
00512,药品
00513,珠宝钟表
00515,工业零件及器材
00517,采购及供应链管理
00518,服装
00519,地产发展商
00520,餐饮
00521,其他金属及矿物
00522,半导体设备与材料
00524,电讯服务
00525,公共运输
00526,家具
00527,非传统/可再生能源
00528,纺织品及布料
00529,电讯设备
00531,家具
00532,工业零件及器材
00533,服装
00535,地产发展商
00536,电子商贸及互联网服务
00538,餐饮
00540,服装
00542,地产发展商
00543,汽车零售商
00544,航空货运及物流
00546,食品添加剂
00547,影视娱乐
00548,铁路及公路
00550,广告及宣传
00551,鞋类
00552,电讯设备
00553,电讯设备
00554,油气设备与服务
00556,环保工程
00557,医疗及医学美容服务
00558,工业零件及器材
00559,酒店及度假村
00560,航运及港口
00563,地产发展商
00564,汽车零件
00565,物业服务及管理
00567,工业零件及器材
00568,油气设备与服务
00570,中医药
00571,影视娱乐
00572,投资及资产管理
00573,餐饮
00574,药品分销
00575,药品
00576,铁路及公路
00579,非传统/可再生能源
00580,工业零件及器材
00581,钢铁
00582,酒店及度假村
00583,地产投资
00585,证券及经纪
00586,环保工程
00587,环保工程
00588,地产发展商
00589,重型基建
00590,其他零售商
00591,工业零件及器材
00592,服装
00593,地产发展商
00595,半导体
00596,应用软件
00598,航运及港口
00599,楼宇建造
00600,油气设备与服务
00601,其他金属及矿物
00602,多元化零售商
00603,燃气供应
00604,地产发展商
00605,信贷
00606,物业服务及管理
00607,环保工程
00608,服装
00609,特殊化工用品
00610,重型基建
00611,非传统/可再生能源
00612,投资及资产管理
00613,投资及资产管理
00616,地产投资
00617,酒店及度假村
00618,地产发展商
00619,证券及经纪
00620,综合企业
00621,黄金及贵金属
00622,证券及经纪
00623,广告及宣传
00626,银行
00627,地产发展商
00628,信贷
00629,信贷
00630,医疗设备及用品
00631,重型机械
00632,油气生产商
00635,玩具及消闲用品
00636,航空货运及物流
00637,其他金属及矿物
00638,家庭电器
00639,煤炭
00640,特殊化工用品
00641,工业零件及器材
00643,服装
00645,煤炭
00646,水务
00648,医疗设备及用品
00650,油气生产商
00653,个人护理
00655,地产投资
00656,综合企业
00657,餐饮
00658,环保工程
00659,综合企业
00660,特殊化工用品
00661,铜
00662,保险
00663,综合企业
00666,能源储存装置
00667,教育
00668,信贷
00669,家庭电器
00670,航空服务
00672,地产发展商
00673,医疗设备及用品
00674,地产发展商
00675,工业零件及器材
00676,鞋类
00677,超市及便利店
00679,电子零件
00681,燃气供应
00682,农产品
00683,地产发展商
00684,家庭电器
00685,出版
00686,非传统/可再生能源
00687,重型基建
00688,地产发展商
00689,油气生产商
00690,药品
00691,建筑材料
00693,汽车零售商
00694,航空服务
00695,建筑材料
00696,系统开发及资讯科技顾问
00697,投资及资产管理
00698,电子零件
00699,汽车零件
00700,电子商贸及互联网服务
00701,建筑材料
00702,油气生产商
00703,餐饮
00704,煤炭
00707,纺织品及布料
00708,汽车
00709,服装
00710,汽车零件
00711,重型基建
00712,新能源物料
00713,家具
00715,地产投资
00716,商业用车及货车
00717,证券及经纪
00718,地产投资
00719,药品
00720,地产投资
00721,投资及资产管理
00722,医疗及医学美容服务
00723,林业及木材
00724,半导体
00725,工业零件及器材
00726,地产发展商
00727,医疗及医学美容服务
00728,电讯服务
00730,信贷
00731,纸及纸制品
00732,电子零件
00733,地产代理
00736,信贷
00737,铁路及公路
00738,鞋类
00743,建筑材料
00745,广告及宣传
00746,特殊化工用品
